1,9500000,2025-02-01
2,8800000,2025-02-02
3,9000000,2025-02-03
4,9200000,2025-02-04
5,8500000,2025-02-05
6,10000000,2025-02-06
7,9900000,2025-02-07
8,11000000,2025-02-08
9,9400000,2025-02-09
10,9600000,2025-02-10
11,9500000,2025-02-11
12,9000000,2025-02-12
13,9700000,2025-02-13
14,10200000,2025-02-14
15,9800000,2025-02-15
16,10000000,2025-02-16
17,9200000,2025-02-17
18,9000000,2025-02-18
19,9800000,2025-02-19
20,9000000,2025-02-20
21,9500000,2025-02-21
22,9200000,2025-02-22
23,9600000,2025-02-23
24,9700000,2025-02-24
25,9900000,2025-02-25
26,9300000,2025-02-26
27,9000000,2025-02-27
28,9400000,2025-02-28
