1,9000000,2025-01-01
2,8500000,2025-01-02
3,7300000,2025-01-03
4,12000000,2025-01-04
5,9500000,2025-01-05
6,7200000,2025-01-06
7,10000000,2025-01-07
8,8800000,2025-01-08
9,9300000,2025-01-09
10,8700000,2025-01-10
11,9500000,2025-01-11
12,10000000,2025-01-12
13,9300000,2025-01-13
14,11000000,2025-01-14
15,9800000,2025-01-15
16,9200000,2025-01-16
17,7700000,2025-01-17
18,8900000,2025-01-18
19,10000000,2025-01-19
20,9400000,2025-01-20
21,9800000,2025-01-21
22,10600000,2025-01-22
23,9200000,2025-01-23
24,8500000,2025-01-24
25,9300000,2025-01-25
26,9900000,2025-01-26
27,10500000,2025-01-27
28,9500000,2025-01-28
29,9700000,2025-01-29
30,10000000,2025-01-30
31,8800000,2025-01-31
